alpha_country__0,alpha_country__1,alpha_country__2,alpha_country__3,alpha_country__4,alpha_country__5,alpha_country__6,alpha_country__7,alpha_country__8,alpha_country__9,alpha_country__10,alpha_country__11,alpha_country__12,alpha_country__13,alpha_country__14,alpha_country__15,alpha_country__16,alpha_country__17,alpha_country__18,alpha_country__19,alpha_country__20,alpha_country__21,alpha_country__22,alpha_country__23,alpha_country__24,alpha_auction_mech__0,alpha_auction_mech__1,alpha_start_bids__0,alpha_start_bids__1,beta_lots__0,beta_mean_res__0,beta_BPL__0,sigma_log__,sigma
-0.133242034741,0.281273669001,0.452832601846,-0.0054710009308,0.196800736158,-0.452620208142,-0.0137435124023,0.567065353369,-0.353979441793,0.146796009189,-0.0757758911762,-0.988067710507,0.561364575278,-0.942787739965,0.688429155364,-0.174226176433,-0.470073418237,0.417946757886,0.203294674848,0.949167657338,-0.00359417862473,-0.616386469554,-0.868820804068,0.871098062709,-0.768729165801,-0.590193434109,-0.144252771674,-0.2453433305,0.550275631183,0.321346896669,0.136907741608,0.675857861234,0.170466853366,1.18585834407
-0.133242034741,0.281273669001,0.452832601846,-0.0054710009308,0.196800736158,-0.452620208142,-0.0137435124023,0.567065353369,-0.353979441793,0.146796009189,-0.0757758911762,-0.988067710507,0.561364575278,-0.942787739965,0.688429155364,-0.174226176433,-0.470073418237,0.417946757886,0.203294674848,0.949167657338,-0.00359417862473,-0.616386469554,-0.868820804068,0.871098062709,-0.768729165801,-0.590193434109,-0.144252771674,-0.2453433305,0.550275631183,0.321346896669,0.136907741608,0.675857861234,0.170466853366,1.18585834407
-0.133242034741,0.281273669001,0.452832601846,-0.0054710009308,0.196800736158,-0.452620208142,-0.0137435124023,0.567065353369,-0.353979441793,0.146796009189,-0.0757758911762,-0.988067710507,0.561364575278,-0.942787739965,0.688429155364,-0.174226176433,-0.470073418237,0.417946757886,0.203294674848,0.949167657338,-0.00359417862473,-0.616386469554,-0.868820804068,0.871098062709,-0.768729165801,-0.590193434109,-0.144252771674,-0.2453433305,0.550275631183,0.321346896669,0.136907741608,0.675857861234,0.170466853366,1.18585834407
-0.132174324005,0.273592438751,0.45993770816,-0.010150584112,0.192633954187,-0.436885547943,-0.00874851134682,0.572032229828,-0.356895557131,0.139112868513,-0.073620524196,-0.990045446347,0.561281982216,-0.940316956135,0.6880080527,-0.169122908366,-0.454614172309,0.41690306517,0.203929328392,0.944423614612,-0.00517290702669,-0.617960212154,-0.874066698139,0.875286109596,-0.770571080283,-0.553067196016,-0.136383442885,-0.217630860375,0.566491123103,0.307749593288,0.139701634895,0.660444226125,0.22535875824,1.25277207789
-0.120181523795,0.273152885959,0.470820663853,-0.00681849691219,0.193861731403,-0.433004390483,-0.0138629715446,0.559364378649,-0.35568454748,0.146187646245,-0.0670895755787,-0.994917236487,0.558168794494,-0.924929906285,0.680888361381,-0.173460753018,-0.44881738472,0.426280075246,0.197523703208,0.942644605267,-0.00398680876791,-0.611333370948,-0.861964945171,0.884970997142,-0.757805806917,-0.492815650998,-0.110519410716,-0.164015193412,0.606143936025,0.298909446664,0.134919476687,0.638509510786,0.296073247113,1.344568639
-0.138224556597,0.296717158954,0.486260931388,-0.0162708085561,0.188774861445,-0.402513206779,0.0113608241936,0.564356852599,-0.357942183323,0.142673955433,-0.068426753675,-0.991057364013,0.562126311874,-0.909375851176,0.685965365595,-0.167515991281,-0.42956910475,0.427466756934,0.202105173326,0.944455304615,-0.00530934703387,-0.587704281878,-0.850591159013,0.874330145773,-0.753515558467,-0.416044999352,-0.0870481674146,-0.0948056407862,0.637353930289,0.292907951059,0.133892460487,0.623904538155,0.357870470981,1.43028034567
-0.138490121132,0.295107014606,0.487668046554,-0.029851040527,0.178233692385,-0.389255389742,0.00742999670827,0.564530977151,-0.359003870365,0.148510453857,-0.0734986309044,-0.988467412317,0.566704647343,-0.905014484045,0.684714959798,-0.164718680196,-0.420608897756,0.408473187165,0.203995496881,0.943733216618,-0.00688025225113,-0.583256786342,-0.840976000294,0.872923175517,-0.747677581579,-0.38500302392,-0.0698839837027,-0.0574489820405,0.64117681315,0.28228748984,0.132714847258,0.620671756138,0.369858269334,1.44752944081
-0.126107490497,0.308092093101,0.508736446734,-0.0197966572828,0.179357311169,-0.358418682821,0.0200143393482,0.565976828325,-0.345261060819,0.155332142962,-0.0883002771329,-0.982944551819,0.587254794787,-0.909284337977,0.6847240042,-0.157016112916,-0.389452739808,0.411069414864,0.21380031288,0.942542419177,-0.00718263606792,-0.549014370829,-0.847280637572,0.876416989619,-0.747090609213,-0.2740442298,-0.0579294841887,0.0284568400207,0.691329172864,0.239766423241,0.117956547061,0.581440480149,0.360273907339,1.43372206778
-0.129508536361,0.317477618159,0.533628199944,-0.013086903254,0.191687042854,-0.368710432109,0.0114053965186,0.577625293568,-0.333836111657,0.161580826087,-0.089404215199,-0.973258103368,0.582579267585,-0.900094767599,0.688223355618,-0.133989434038,-0.386486996397,0.395775777732,0.220670450638,0.923379604313,-0.00431862034572,-0.539610183267,-0.858776847894,0.874344271193,-0.741995144878,-0.203471582666,-0.0360875134009,0.0835227079183,0.711371995172,0.225093055634,0.118623922745,0.559521645114,0.331162796029,1.39258648141
-0.130076374326,0.301587300053,0.540765849606,-0.0158147281383,0.194801027717,-0.344816589602,0.0281386262532,0.58234025433,-0.339534955329,0.170835750018,-0.0743539549617,-0.987621101466,0.577139683108,-0.894414704994,0.67690543426,-0.137854927391,-0.383818779221,0.391233395472,0.213171964241,0.912992003818,-0.0105608469865,-0.53326604447,-0.86304789594,0.857230289046,-0.740495060651,-0.125526207242,0.00241402904856,0.163766845686,0.743828958821,0.221758645698,0.116677315395,0.508532784812,0.269728430442,1.30960875257
