auction_id,RoR,STR,BPL,lots,product_types,avg_start_bid,avg_reserve,auction_mech,country
100,1.026112017017974,0.5030967143899748,8.324074074074074,108,0.7685185185185185,0,10568.25,SealedBid,FR
101,1.407666038657305,1,5.571428571428571,7,1,0,4805.617248535156,EnglishForward,CZ
102,0,0,0,2,1,0,3550,SealedBid,FR
103,0.8840207845189342,1,1,3,0.3333333333333333,0,7693.876790364583,FixedPrice,LU
104,0.9725931027429598,1,4.533333333333333,90,0.6111111111111112,0,8661.111111111111,EnglishForward,NL
105,0,0,0,5,0.6,0,14760,FixedPrice,EU
106,1.089178249356206,0.4781723591947523,3.1,87,0.4827586206896552,1,5081.609195402299,EnglishForward,IT
107,1,0.3889511011571482,1,15,0.6666666666666666,0,8930,FixedPrice,BE
108,1.2346074508886582,1,4.25,12,0.75,0,4020.779815673828,EnglishForward,CZ
109,0.6821610517980261,0.3810814462718188,4.333333333333333,6,0.6666666666666666,0,13985.507731119791,EnglishForward,EU
110,1.0408992237327208,0.3982371761451013,6.2631578947368425,57,0.8771929824561403,0,8375.509165981359,EnglishForward,EU
111,0.8511432925132852,0.8839122574415117,5,40,0.725,0,11771.455993652344,EnglishForward,DE
112,1.0465718808353603,0.2548594950358429,2.2142857142857144,99,0.8686868686868687,0.9985898067543615,16499.4853515625,EnglishForward,PT
113,0,0,0.03333333333333333,30,0.06666666666666667,0,7728.661995442709,EnglishForward,LU
114,0.9451936191622283,1,9.923076923076923,13,1,0,8770.846228966346,EnglishForward,ES
115,1.583264186982234,0.32871379217735935,3.5,30,0.7666666666666667,0,4997.778405761719,SealedBid,HU
116,0.9675589496241906,1,7.923076923076923,13,1,0,8095.473876953125,EnglishForward,ES
117,1.0552196468907011,1,9.909090909090908,11,1,0,6837.494517933239,EnglishForward,ES
118,1.0174059397987791,0.24740380701035738,1.9310344827586208,99,0.8686868686868687,0.9990725731724617,12771.040098248106,EnglishForward,PT
119,1.0162062342829474,1,1,4,0.75,0,11662.91748046875,SealedBid,BE
120,0,0,0,1,1,1,24600,EnglishForward,ES
121,1,0.34736251402918067,1,82,0.34146341463414637,0,4346.341463414634,FixedPrice,EU
122,1.0587929910110905,0.771134787091525,9.164179104477611,67,0.8059701492537313,0,21279.55223880597,SealedBid,FR
123,0.8012628620108099,0.7614632192225045,2.6666666666666665,4,0.5,0.13107720766458605,10349.62451171875,EnglishForward,CZ
124,1.0729978084391867,0.425500149298298,2.1,46,0.8913043478260869,1,7280.434782608696,EnglishForward,EU
125,0.874023803355355,1,4.413793103448276,29,0.9655172413793104,0,11703.361782731681,EnglishForward,DE
126,0,0,0,1,1,1,24600,EnglishForward,ES
127,1,0.44,1,3,1,0,3333.3333333333335,SealedBid,FR
128,0.9046081554128989,0.44995294838759137,1.8,12,0.9166666666666666,0.904416123085818,7251.584228515625,EnglishForward,ES
129,0.8760043317568266,0.3063498063353217,2,11,1,0.8782094937249595,6637.866299715909,EnglishForward,ES
130,1,0.3806571605703658,1,25,0.56,0,6452,FixedPrice,BE
131,1.0586336137024766,0.5591543189411134,7.6835443037974684,80,0.8125,0,9802.75,SealedBid,FR
132,0.7965478957227806,0.539830189412643,1.5,3,0.6666666666666666,0.8458965404089486,13039.2294921875,EnglishForward,EU
133,0,0,0,1,1,1,24600,EnglishForward,ES
134,1,0.5993150684931506,1,6,1,0,9733.333333333334,FixedPrice,PT
135,1.1100425922284143,1,7.2727272727272725,11,0.8181818181818182,0,6396.058283025568,EnglishForward,CZ
136,0.9796570187202857,1,5.814285714285714,70,0.7857142857142857,0,7660,EnglishForward,EU
137,0.9559553644765295,0.9493350986770158,7.347368421052631,95,0.7473684210526316,0,9557.119695723684,SealedBid,NL
138,0.9259054447388804,1,5.329268292682927,82,0.5853658536585366,0,6614.94661210223,EnglishForward,PL
139,1.028027998127084,0.17630361545357742,2,103,0.8640776699029126,0.9978283553071012,14066.489805351182,EnglishForward,PT
140,1,0.5693330725601408,1,31,0.8064516129032258,0,8246.774193548386,FixedPrice,BE
141,1.0569123481959675,0.5311064718162839,2.7142857142857144,91,0.4725274725274725,1,5263.736263736264,EnglishForward,IT
142,0.989368744821243,0.08234908652966588,6.239130434782608,46,0.7608695652173914,0,18210.970957880436,EnglishForward,TR
143,1.031844551736076,0.9529472595656671,6.10091743119266,109,0.6422018348623854,0,8871.559633027522,SealedBid,NL
144,1.5781866881072903,1,7,10,0.9,0,5313.616351318359,EnglishForward,CZ
145,0.6588580892643354,0.885968635290331,0.9,10,0.4,0.09348010246317391,20741.8501953125,EnglishForward,EU
146,0.8463226004344505,0.9645376861905083,4.523809523809524,42,0.8809523809523809,0,14860.644496372768,EnglishForward,DE
147,1,0.5419323197645904,1,22,0.8636363636363636,0,9268.181818181818,FixedPrice,EU
148,1.0510216811683477,1,14.15,20,0.95,0,13604.779077148438,EnglishForward,ES
149,0.9698655616074079,0.24603974088967223,4,9,0.7777777777777778,0,4779.395914713542,SealedBid,IN
150,0.7057191618095222,1,1,10,0.1,0,7652.004931640625,FixedPrice,LU
151,1.0018673954942214,0.11306417593531269,1.0833333333333333,103,0.7669902912621359,0.9946949559582048,15619.108652059314,EnglishForward,PT
152,0.6985761415735928,1,1,10,0.1,0,7730.040966796875,FixedPrice,LU
153,0,0,0,5,0.8,0,14480,FixedPrice,EU
154,1.0135809578661379,1,1,15,0.3333333333333333,0,27321.440104166668,SealedBid,BE
155,0,0,1.3333333333333333,78,0.5769230769230769,0,7032.771612705328,EnglishForward,PL
