alpha_country__0,alpha_country__1,alpha_country__2,alpha_country__3,alpha_country__4,alpha_country__5,alpha_country__6,alpha_country__7,alpha_country__8,alpha_country__9,alpha_country__10,alpha_country__11,alpha_country__12,alpha_country__13,alpha_country__14,alpha_country__15,alpha_country__16,alpha_country__17,alpha_country__18,alpha_country__19,alpha_country__20,alpha_country__21,alpha_country__22,alpha_country__23,alpha_country__24,alpha_auction_mech__0,alpha_auction_mech__1,alpha_start_bids__0,alpha_start_bids__1,beta_lots__0,beta_mean_res__0,beta_BPL__0,sigma_interval__,sigma
-0.528334921573,-0.993159813699,-0.159996536507,-0.858448646007,-0.703550203444,0.980945023148,-0.904403291678,-0.500144853663,-0.141113356811,-0.421059088526,-0.969890358773,0.548820562952,0.911734623351,-0.955442786137,-0.0663562205366,0.364969637764,-0.462247249151,-0.625232061873,0.615115802219,-0.667684390416,-0.611855252165,0.443159450269,-0.640988992459,0.92730067296,0.913888116028,0.659770567524,0.139701915431,-0.0668264981707,0.00911289276179,-0.429768503445,-0.786902149963,0.66348222856,-0.78321922352,0.313626484765
-0.528334921573,-0.993159813699,-0.159996536507,-0.858448646007,-0.703550203444,0.980945023148,-0.904403291678,-0.500144853663,-0.141113356811,-0.421059088526,-0.969890358773,0.548820562952,0.911734623351,-0.955442786137,-0.0663562205366,0.364969637764,-0.462247249151,-0.625232061873,0.615115802219,-0.667684390416,-0.611855252165,0.443159450269,-0.640988992459,0.92730067296,0.913888116028,0.659770567524,0.139701915431,-0.0668264981707,0.00911289276179,-0.429768503445,-0.786902149963,0.66348222856,-0.78321922352,0.313626484765
-0.528334921573,-0.993159813699,-0.159996536507,-0.858448646007,-0.703550203444,0.980945023148,-0.904403291678,-0.500144853663,-0.141113356811,-0.421059088526,-0.969890358773,0.548820562952,0.911734623351,-0.955442786137,-0.0663562205366,0.364969637764,-0.462247249151,-0.625232061873,0.615115802219,-0.667684390416,-0.611855252165,0.443159450269,-0.640988992459,0.92730067296,0.913888116028,0.659770567524,0.139701915431,-0.0668264981707,0.00911289276179,-0.429768503445,-0.786902149963,0.66348222856,-0.78321922352,0.313626484765
-0.526851404291,-0.993232860448,-0.153621797795,-0.85820509438,-0.702134289843,0.97698369139,-0.900405703799,-0.501150275474,-0.145330802016,-0.414851330722,-0.966478296369,0.548835866139,0.9102245114,-0.953037928854,-0.0648925967573,0.365446127584,-0.460429217027,-0.622908593778,0.615186016778,-0.66756177063,-0.611294565858,0.449996629468,-0.64234666148,0.925282694538,0.91392095974,0.66634856813,0.156556812425,-0.0553148476482,0.0208971539762,-0.409618287536,-0.757206171307,0.634408187684,-0.733561426328,0.324413683993
-0.52459448966,-0.992850182183,-0.146971610274,-0.857110145435,-0.700262931318,0.972200047377,-0.89850215686,-0.499573441172,-0.144615175092,-0.409859449033,-0.966603648493,0.54956918059,0.911528388867,-0.949467696658,-0.0645784725157,0.365351713758,-0.4585165839,-0.620336307548,0.616926416368,-0.664882850111,-0.612589183384,0.458068368858,-0.644432300952,0.926973103229,0.914652823355,0.67480971998,0.172699434168,-0.0444660831158,0.0354459192527,-0.39025971513,-0.722097736175,0.606266872531,-0.684502998515,0.335257022151
-0.520316786168,-0.991679627439,-0.136960289705,-0.858148728662,-0.698533645478,0.963791726352,-0.894034692739,-0.500589367711,-0.142327399809,-0.39812616572,-0.964380453552,0.547469300472,0.910840276898,-0.944856666359,-0.0616904367544,0.363998326552,-0.457475968027,-0.624113618067,0.61807404061,-0.663226356146,-0.608711990533,0.468925854755,-0.643257145493,0.924864515678,0.916093189274,0.686934349898,0.200038999422,-0.0237290623345,0.0532752325775,-0.357723270002,-0.666338741231,0.566009989736,-0.607097621927,0.352721553533
-0.520316786168,-0.991679627439,-0.136960289705,-0.858148728662,-0.698533645478,0.963791726352,-0.894034692739,-0.500589367711,-0.142327399809,-0.39812616572,-0.964380453552,0.547469300472,0.910840276898,-0.944856666359,-0.0616904367544,0.363998326552,-0.457475968027,-0.624113618067,0.61807404061,-0.663226356146,-0.608711990533,0.468925854755,-0.643257145493,0.924864515678,0.916093189274,0.686934349898,0.200038999422,-0.0237290623345,0.0532752325775,-0.357723270002,-0.666338741231,0.566009989736,-0.607097621927,0.352721553533
-0.52041706296,-0.991675615862,-0.136535041563,-0.857688566862,-0.698304399474,0.9638925895,-0.894271833807,-0.500344484149,-0.142323381752,-0.398021984404,-0.964534558714,0.547690386553,0.910581868602,-0.944512053126,-0.0619359935135,0.363851326218,-0.457221983179,-0.623940905866,0.618587776456,-0.663379323975,-0.608538887731,0.468880254601,-0.643619637702,0.924923636557,0.916135545508,0.687212969599,0.200198487874,-0.0237255438754,0.0532162342806,-0.357640584,-0.665569599829,0.565285942501,-0.606147388386,0.352938530808
-0.520097223482,-0.988806676205,-0.130429810733,-0.855820964702,-0.697367352051,0.958936987331,-0.893293269625,-0.500999403974,-0.143209602204,-0.395137982901,-0.964397108164,0.549444849609,0.910006631839,-0.943959977299,-0.0623154714339,0.36392542716,-0.453539347806,-0.625726119816,0.619330672877,-0.662608796076,-0.608124789756,0.477233990696,-0.645562464817,0.924389537875,0.916313320454,0.693232981062,0.212143130356,-0.0142477680087,0.0610001790499,-0.343387583605,-0.642682773861,0.541329371417,-0.572077190004,0.360757662383
-0.518448329289,-0.98972184386,-0.121585473702,-0.86013353742,-0.697263921202,0.951554867926,-0.892411211379,-0.501376399707,-0.140043574602,-0.389592473424,-0.965279966416,0.548427917368,0.909199292624,-0.938266415536,-0.062886558479,0.361253304019,-0.450584900966,-0.622743187891,0.616295246972,-0.659349466234,-0.602179212325,0.486416504598,-0.64557789171,0.923535995329,0.91388217651,0.702000904455,0.23269513936,0.000448367810269,0.0756757570722,-0.318244169524,-0.604989004017,0.508514155952,-0.524111606408,0.371891306303
